name, birth_year, genre
A.B.C._Whipple other, 1918, other
A.B._Quintanilla other, 1963, other
A.S._King other, 1970, other
A._B._Spellman poetry, 1935, poetry
A._B._Spellman other, 1935, other
A._J._Masters other, 1950, other
A._Mark_Ratner other, 1948, other
Amity_Shlaes other, 1960, other
Ammo_(musician) other, 1988, other
Amy_Correia other, 1968, other
Amy_Hempel other, 1951, other
Amy_Kuney other, 1985, other
Amy_Malkoff other, 1966, other
Amy_Monticello other, 1965, other
Amy_Plum other, 1967, other
Ana_Cristina other, 1985, other
Anabel_Englund other, 1992, other
Anders_Osborne other, 1966, other
Andre_Deyo other, 1978, other
Andrea_Hairston science_fiction, 1957, science_fiction
Andrea_Hairston fantasy, 1957, fantasy
Andrea_Hollander_Budy poetry, 1947, poetry
Andrea_Martin_(musician) other, 1975, other
Andrea_White other, 1973, other
Andrew_A._Smith other, 1959, other
Andrew_Belle other, 1984, other
Andrew_Champion other, 1970, other
Andrew_Dawson_(record_producer) other, 1980, other
Andrew_Greer other, 1982, other
Andrew_Gross other, 1952, other
Andrew_McMahon other, 1982, other
Andrew_Odom other, 1936, other
Andrew_Revkin other, 1956, other
Andrew_Romanelli poetry, 1982, poetry
Andrew_Tibbs other, 1929, other
Andrew_W.K. other, 1979, other
Andy_Breckman other, 1955, other
Andy_Hull other, 1986, other
Andy_Shernoff other, 1955, other
Andy_Weir science_fiction, 1972, science_fiction
Angel_Deradoorian other, 1986, other
Angel_Taylor other, 1988, other
Angela_Hunte other, 1975, other
Angela_Strehli other, 1945, other
Angela_Winbush other, 1955, other
Angelia_Robinson other, 1972, other
Angelo_Moore other, 1965, other
Angie_Stone other, 1961, other
Anita_Cochran other, 1967, other
Anita_Lobel other, 1934, other
Anita_Stansfield romance, 1961, romance
Anita_Wilson other, 1976, other
Ann_Blackman other, 1946, other
Ann_Curless other, 1963, other
Ann_Jones_(author) other, 1937, other
Ann_Leckie science_fiction, 1966, science_fiction
Ann_Leckie fantasy, 1966, fantasy
Ann_M._Martin other, 1955, other
Ann_Major romance, 1946, romance
Ann_McNamee other, 1953, other
Ann_Peebles other, 1947, other
Ann_Savoy other, 1952, other
Anna_Gilbert_(musician) other, 1982, other
Anna_Godbersen other, 1980, other
Anna_Godbersen romance, 1980, romance
Anna_Margaret_Collins other, 1996, other
Anna_Nalick other, 1984, other
Anne_Gray_McCready other, 1960, other
Anne_Hendershott other, 1949, other
Anne_Hills other, 1953, other
Anne_Holmberg romance, 1938, romance
Anne_Holmberg fantasy, 1938, fantasy
Anne_Mallory other, 1975, other
Anne_Mallory romance, 1975, romance
Anne_Marie_Miller other, 1980, other
Anne_Rice other, 1941, other
Anne_Rice fantasy, 1941, fantasy
Anne_Stuart romance, 1948, romance
Anne_Wingate other, 1943, other
Anne_Wingate romance, 1943, romance
Anne_Wingate fantasy, 1943, fantasy
Annet_Artani other, 1976, other
Annette_Broadrick romance, 1938, romance
Annette_Moreno other, 1972, other
Annie_Finch poetry, 1956, poetry
Annie_Herring other, 1945, other
Annie_Leonard other, 1964, other
Anthony_Hamilton_(musician) other, 1971, other
Anthony_M._Jones other, 1982, other
Anthony_Neely other, 1986, other
Anthony_da_Costa other, 1991, other
Antoine_%22T.C.D.%22_Lundy other, 1964, other
Anton_Myrer other, 1922, other
Anton_Strout fantasy, 1970, fantasy
Antoniette_Costa other, 1986, other
Alaya_Dawn_Johnson science_fiction, 1982, science_fiction
Alaya_Dawn_Johnson fantasy, 1982, fantasy
Albert_Daniels other, 1983, other
Albert_Huffstickler poetry, 1927, poetry
Alec_Seward other, 1902, other
Alela_Diane other, 1983, other
Alethea_Kontis other, 1976, other
Alethea_Kontis science_fiction, 1976, science_fiction
Alethea_Kontis fantasy, 1976, fantasy
Alex_Berenson other, 1973, other
Alex_Dezen other, 1978, other
Alex_Ebert other, 1978, other
Alex_Flinn other, 1966, other
Alex_Flinn romance, 1966, romance
Alex_Flinn fantasy, 1966, fantasy
Alex_González_(musician) other, 1969, other
Alex_Goot other, 1988, other
Alex_Grecian other, 1969, other
Alex_Lambert other, 1990, other
Alex_Nelson other, 1975, other
Alex_Otey other, 1959, other
Alex_Shoumatoff other, 1946, other
Alexander_C._Irvine science_fiction, 1969, science_fiction
Alexander_DeLeon other, 1989, other
Alexander_Jablokov science_fiction, 1956, science_fiction
Alexander_James_Adams other, 1962, other
Alexandra_Bracken fantasy, 1987, fantasy
Alexis_P._Suter other, 1963, other
Alfonzo_Blackwell other, 1971, other
Alfred_Corn other, 1943, other
Alfred_Corn poetry, 1943, poetry
Algebra_(singer) other, 1976, other
Ali_(American_rapper) other, 1971, other
Ali_Harter other, 1984, other
Ali_Tamposi other, 1989, other
Alice_Borchardt other, 1939, other
Alice_Borchardt fantasy, 1939, fantasy
Alice_Peacock other, 1971, other
Alisa_Childers other, 1975, other
Alison_Bechdel other, 1960, other
Alison_Mosshart other, 1978, other
Alissa_Quart poetry, 1972, poetry
Allan_Carpenter other, 1917, other
Allen_Forrest other, 1981, other
Allen_Ritter other, 1988, other
Allen_Woody other, 1955, other
Allen_Zadoff other, 1967, other
Allie_Gonino other, 1990, other
Allison_Weiss other, 1987, other
Ally_Carter other, 1974, other
Alma_(singer) other, 1991, other
Alma_Denny other, 1906, other
Alma_Denny poetry, 1906, poetry
Alma_Katsu other, 1959, other
Alma_Katsu romance, 1959, romance
Alma_Katsu fantasy, 1959, fantasy
Alrad_Lewis other, 1977, other
Alvin_Robinson_(musician) other, 1937, other
Alvin_Slaughter other, 1955, other
Alyssa_Bonagura other, 1988, other
Amanda_Brown_(singer) other, 1985, other
Amanda_Kyle_Williams other, 1957, other
Amanda_Richards other, 1983, other
Amanda_Shaw other, 1990, other
Amanda_Shires other, 1982, other
Amanda_Somerville other, 1979, other
Amelia_Reynolds_Long other, 1904, other
Amelia_Reynolds_Long science_fiction, 1904, science_fiction
Anya_Marina other, 1976, other
Apollo_Smile other, 1967, other
Ara_Dinkjian other, 1958, other
Archie_Edwards other, 1918, other
Aretha_Henry other, 1982, other
Ari_Berk other, 1967, other
Ari_Berk poetry, 1967, poetry
Ari_Berk fantasy, 1967, fantasy
Ari_Goldwag other, 1980, other
Ari_Herstand other, 1985, other
Arika_Kane other, 1985, other
Arinn_Dembo other, 1970, other
Arinn_Dembo science_fiction, 1970, science_fiction
Arliss_Ryan other, 1950, other
Arnette_Lamb romance, 1947, romance
Arnold_Hano other, 1922, other
Arsen_Roulette other, 1976, other
Arthur_Frommer other, 1929, other
Arthur_Richman other, 1926, other
Arthur_Tofte science_fiction, 1902, science_fiction
Artie_Butler other, 1942, other
Artimus_Pyle other, 1948, other
Asaiah_Ziv other, 1996, other
Ash_Riser other, 1989, other
Ashley_Ellyllon other, 1984, other
Ashley_Parker_Angel other, 1981, other
Ashton_Shepherd other, 1986, other
Astro_(rapper) other, 1996, other
Audra_the_Rapper other, 1989, other
Audrey_Assad other, 1983, other
Audrey_Auld-Mezera other, 1964, other
Audrey_Wurdemann poetry, 1911, poetry
Austin_Gary other, 1947, other
Austin_Mahone other, 1996, other
Austin_Roberts_(singer) other, 1945, other
Austin_Wright other, 1922, other
Autry_Inman other, 1929, other
Autumn_Rowe other, 1998, other
Avant other, 1978, other
Avery_Storm other, 1981, other
Avery_Wilson other, 1995, other
Ayun_Halliday other, 1965, other
Aaron_Allston other, 1960, other
Aaron_Allston science_fiction, 1960, science_fiction
Aaron_Allston fantasy, 1960, fantasy
Aaron_Barker other, 1953, other
Aaron_Barlow other, 1951, other
Aaron_Becker other, 1974, other
Aaron_Deer other, 1980, other
