year, fantasy, science_fiction, poetry, romance, non_fiction, history, mystery, horror_thriller, young_adult, childrens_literature 
1936, 2, 2, 17, 4, 5, 0, 6, 4, 3, 3 
1988, 8, 2, 4, 3, 1, 1, 1, 2, 3, 1 
1918, 2, 5, 11, 1, 6, 1, 4, 1, 0, 2 
1963, 13, 13, 15, 6, 6, 2, 9, 15, 8, 7 
1969, 12, 11, 18, 3, 11, 1, 8, 11, 4, 5 
1970, 14, 10, 16, 4, 8, 1, 1, 11, 5, 8 
1951, 19, 17, 23, 9, 9, 2, 11, 11, 0, 9 
1935, 4, 8, 23, 3, 4, 3, 5, 3, 1, 5 
1950, 9, 12, 28, 11, 6, 4, 11, 9, 5, 3 
1940, 1, 3, 31, 4, 3, 0, 3, 4, 2, 4 
1966, 11, 9, 14, 6, 2, 4, 5, 10, 2, 5 
1973, 14, 7, 15, 3, 3, 3, 3, 4, 9, 4 
1968, 21, 18, 18, 3, 6, 1, 5, 14, 4, 5 
1909, 3, 6, 12, 1, 2, 1, 7, 3, 0, 4 
1948, 18, 14, 36, 11, 10, 2, 15, 12, 5, 9 
1904, 0, 4, 11, 4, 2, 3, 3, 2, 0, 5 
1962, 17, 13, 24, 5, 6, 1, 13, 14, 2, 4 
1993, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0 
1911, 4, 4, 12, 3, 1, 0, 1, 2, 1, 2 
1965, 15, 9, 17, 7, 7, 0, 7, 12, 4, 5 
1934, 5, 5, 21, 1, 4, 0, 2, 1, 4, 8 
1980, 5, 1, 9, 4, 1, 0, 3, 3, 4, 2 
1960, 11, 11, 19, 4, 7, 1, 12, 10, 2, 5 
1944, 6, 8, 21, 7, 3, 2, 8, 6, 0, 9 
1987, 1, 0, 2, 1, 2, 1, 0, 1, 2, 0 
1977, 13, 4, 7, 5, 4, 0, 4, 10, 5, 1 
1931, 5, 6, 26, 2, 5, 4, 3, 3, 3, 6 
1941, 3, 6, 19, 5, 6, 1, 6, 5, 4, 7 
1928, 3, 10, 18, 5, 3, 0, 3, 3, 5, 10 
1919, 1, 6, 11, 3, 5, 0, 3, 1, 0, 4 
1978, 12, 5, 14, 4, 3, 1, 0, 6, 3, 2 
1985, 0, 0, 4, 0, 1, 1, 0, 2, 0, 1 
1992, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0 
1967, 16, 8, 22, 4, 12, 2, 6, 10, 9, 9 
1964, 13, 11, 21, 2, 7, 3, 6, 8, 3, 4 
1958, 12, 8, 16, 8, 8, 6, 16, 18, 6, 7 
1972, 15, 13, 12, 2, 2, 2, 0, 8, 5, 7 
1955, 13, 9, 26, 2, 4, 2, 7, 12, 6, 7 
1974, 15, 7, 9, 3, 7, 0, 4, 10, 8, 5 
1976, 17, 6, 12, 1, 3, 0, 5, 9, 3, 0 
1975, 11, 7, 14, 4, 4, 2, 2, 4, 6, 6 
