year, Science fiction, Hard science fiction, Social science fiction 
1951, 16, 1, 0
1973, 7, 0, 0
1968, 18, 0, 0
1912, 3, 0, 0
1957, 15, 2, 0
1934, 5, 0, 0
1949, 9, 0, 0
1977, 4, 0, 0
1946, 13, 0, 0
1972, 13, 0, 0
1941, 5, 1, 0
1950, 12, 0, 0
1966, 9, 0, 0
1944, 8, 0, 0
1970, 10, 0, 0
1982, 5, 0, 0
1956, 8, 0, 0
1976, 6, 0, 0
1969, 11, 0, 0
1906, 2, 0, 0
1907, 8, 0, 0
1959, 7, 0, 0
1958, 8, 0, 0
1904, 4, 0, 0
1917, 2, 1, 0
1921, 5, 1, 0
1902, 2, 0, 0
1909, 6, 0, 0
1960, 10, 0, 0
1937, 8, 0, 0
1920, 7, 0, 0
1952, 12, 0, 0
1928, 10, 0, 0
1936, 2, 0, 0
1961, 9, 1, 0
1953, 11, 0, 0
1974, 7, 0, 0
1978, 5, 0, 0
1975, 7, 0, 0
1925, 7, 0, 0
1947, 15, 0, 0
1954, 11, 0, 0
1935, 8, 0, 0
1942, 4, 0, 0
1943, 4, 0, 0
1955, 9, 0, 0
1965, 9, 0, 0
1911, 4, 0, 0
1971, 12, 0, 0
1910, 8, 0, 0
1967, 8, 0, 0
1963, 11, 0, 0
1948, 14, 0, 0
1929, 3, 0, 0
1927, 4, 0, 0
1964, 11, 0, 0
1945, 8, 0, 1
1939, 7, 0, 0
1931, 6, 0, 0
1979, 5, 0, 0
1930, 8, 0, 0
1908, 5, 0, 0
1962, 13, 0, 0
1901, 2, 0, 0
1919, 5, 1, 1
1915, 5, 0, 0
1918, 5, 0, 0
1922, 6, 0, 0
1932, 6, 0, 1
1933, 6, 0, 0
1938, 5, 1, 1
1926, 3, 0, 0
1923, 5, 1, 0
1905, 1, 0, 0
1914, 8, 0, 0
1900, 1, 0, 0
1940, 3, 0, 0
1916, 2, 0, 0
1984, 3, 0, 0
1983, 1, 0, 0
1988, 2, 0, 0
1990, 1, 0, 0
1924, 2, 0, 0
1991, 1, 0, 0
1981, 2, 0, 0
1999, 1, 0, 0
1980, 1, 0, 0
