name, birth_year, genre
Andrey_Dashkov Dark fantasy, 1965, Dark fantasy
Ann_Aguirre, 1970, Urban fantasy
Anton_Strout, 1970, Urban fantasy
Alma_Katsu Dark fantasy, 1959, Dark fantasy
Ari_Berk Dark fantasy, 1967, Dark fantasy
Adam_Christopher Urban fantasy, 1978, Urban fantasy
Adrienne_Monson Urban fantasy, 1983, Urban fantasy
Alan_Garner Low fantasy, 1934, Low fantasy
Bastien_Lecouffe-Deharme Dark fantasy, 1982, Dark fantasy
Benedict_Jacka Urban fantasy, 1980, Urban fantasy
Charles_de_Lint Urban fantasy, 1951, Urban fantasy
Chloe_Neill Urban fantasy, 1972, Urban fantasy
Christia_Sylf, 1924, Heroic fantasy
Christopher_Moore_(author) Comic fantasy, 1957, Comic fantasy
C._J._Henderson Dark fantasy, 1951, Dark fantasy
Caitlín_R._Kiernan Dark fantasy, 1964, Dark fantasy
David_Gemmell Historical fantasy, 1948, Historical fantasy
David_Gemmell Heroic fantasy, 1948, Heroic fantasy
Diana_Gabaldon Historical fantasy, 1952, Historical fantasy
Douglas_Clegg Dark fantasy, 1958, Dark fantasy
Dušan_Fabian Dark fantasy, 1975, Dark fantasy
Dušan_Fabian Urban fantasy, 1975, Urban fantasy
Dan_McGirt, 1967, Comic fantasy
Dana_Cameron, 1965, Urban fantasy
Ekaterina_Sedia Urban fantasy, 1970, Urban fantasy
Geoffrey_Girard Dark fantasy, 1967, Dark fantasy
Gail_Carriger Urban fantasy, 1976, Urban fantasy
Gail_Z._Martin High fantasy, 1962, High fantasy
Gail_Z._Martin Urban fantasy, 1962, Urban fantasy
Greg_F._Gifune Contemporary fantasy, 1963, Contemporary fantasy
Gwyneth_Jones_(novelist), 1952, High fantasy
Henry_Slesar Dark fantasy, 1927, Dark fantasy
Jess_Hartley Historical fantasy, 1967, Historical fantasy
Joanne_Bertin, 1953, High fantasy
Joe_Hill_(writer) Dark fantasy, 1972, Dark fantasy
John_Brown_(American_author) High fantasy, 1966, High fantasy
John_D._Harvey Dark fantasy, 1968, Dark fantasy
Jasper_Fforde Comic fantasy, 1961, Comic fantasy
Jeffrey_E._Barlough Dark fantasy, 1953, Dark fantasy
Jemiah_Jefferson Dark fantasy, 1972, Dark fantasy
Jennifer_Armintrout Urban fantasy, 1980, Urban fantasy
Jennifer_Rardin, 1965, Urban fantasy
John_Langan Dark fantasy, 1969, Dark fantasy
