year, Young-adult fiction, Adolescence 
1970, 5, 1
1931, 3, 0
1967, 9, 0
1959, 4, 0
1955, 6, 0
1956, 4, 0
1980, 4, 1
1953, 3, 1
1972, 5, 0
1969, 4, 0
1954, 4, 0
1974, 8, 0
1986, 4, 0
1984, 6, 0
1937, 3, 0
1968, 4, 1
1971, 5, 0
1979, 6, 0
1928, 5, 0
1934, 4, 0
1950, 5, 0
1946, 6, 0
1975, 6, 0
1952, 2, 0
1933, 1, 0
1942, 4, 0
1936, 3, 0
1929, 1, 0
1957, 2, 0
1947, 6, 0
1935, 1, 0
1988, 3, 0
1973, 9, 0
1977, 5, 0
1949, 2, 0
1982, 7, 0
1963, 8, 0
1948, 5, 0
1987, 2, 0
1917, 1, 0
1945, 1, 0
1940, 2, 0
1911, 1, 0
1901, 1, 0
1921, 2, 0
1964, 3, 0
1939, 2, 1
1981, 6, 0
1958, 6, 0
1941, 4, 0
1976, 3, 0
1910, 1, 0
1985, 0, 1
1965, 4, 0
1990, 1, 0
1932, 1, 0
1920, 1, 1
1966, 2, 0
1961, 1, 0
1902, 1, 0
1960, 2, 0
1943, 1, 0
1927, 1, 0
1912, 1, 0
1938, 3, 0
1978, 3, 0
1994, 1, 0
1962, 2, 0
1993, 2, 0
1983, 1, 0
1989, 1, 0
